order,text_a,label,Target
0,春节放鞭炮是传统习俗，但环境污染问题却不容忽视。建议春节不放鞭炮，既保护环境，又节约资源。,0.0,春节放鞭炮
1,春节放鞭炮是为了满足个人娱乐需求，却对环境造成了严重破坏。我们应该倡导减少鞭炮的使用，减少空气污染，保护环境。春节是中国传统节日，也是我们与家人团聚的节日，应该倡导文明健康的生活方式。,0.0,春节放鞭炮
2,春节不放鞭炮，环保是福，但过年不放鞭炮，破坏环境。,0.0,春节放鞭炮
3,春节放鞭炮的减少，原因包括空气污染、百姓嫌贵、花钱听响不实惠、过年传统被颠覆等。,0.0,春节放鞭炮
4,反对春节放鞭炮，我们应该提倡绿色环保，减少浪费。,0.0,春节放鞭炮
5,不放鞭炮不发财。,0.0,春节放鞭炮
6,我们不能放鞭炮，放烟花、烟花爆竹不仅污染空气，还给环卫工人带来劳动量，应该减少鞭炮的燃放。,0.0,春节放鞭炮
7,大连市文明办、环保局联合发出倡议书”不放、少放烟花爆竹，绿色过春节”，我举双手赞同。家里近几年一直都没有放鞭炮。其实，年味儿不只是鞭炮味儿，美好的中国年有丰富的年俗，少了鞭炮，还有写春联、挂年画、贴窗花、蒸年糕、包饺子、守岁、拜年......大家只要齐心去做，过绿色环保年，一样热闹有趣。,0.0,春节放鞭炮
8,"""今天小年，绿城社工今天上午走上街头倡导民不放鞭炮,过绿色春节。放鞭炮也是造成PM2.5污染原因之一，希望大家少放就少放，环保的同时也减少浪费。""",0.0,春节放鞭炮
9,"今天小年，绿城社工呼吁市民不放鞭炮，过绿色春节。放鞭炮是PM2.5污染的原因之一，希望大家少放就少放，减少浪费。
好的传统可以延续，不好的传统应该结束，比如鞭炮，全国禁止燃放吧。有人非要拿春节必须放鞭炮一说，过去还非要一男配多女，偷情就处死，基被发现基本烧死，你们也延续这样的传统好了。",0.0,春节放鞭炮
10,将军牛排7家门店不放鞭炮烟花，春节不放鞭炮，怕楼房震塌，环保低碳，大家支持吧。,0.0,春节放鞭炮
11,除夕初一，广州北部出现重度污染，不放鞭炮缓解污染。,0.0,春节放鞭炮
12,反对: 春节放鞭炮有年味儿，但污染严重，空气污染，建议春节少放鞭炮。,0.0,春节放鞭炮
13,春节快乐!,0.0,春节放鞭炮
14,@王明：不要放鞭炮!,0.0,春节放鞭炮
15,春节放鞭炮是一项有害的行为，不应该提倡。,0.0,春节放鞭炮
